threads,run,run_time
2,0,5.355
2,1,5.320
2,2,5.390
2,3,5.361
2,4,5.430
2,5,5.268
2,6,5.390
2,7,5.447
2,8,5.403
2,9,5.357
4,0,2.717
4,1,2.706
4,2,2.730
4,3,2.704
4,4,2.696
4,5,2.704
4,6,2.841
4,7,2.850
4,8,2.806
4,9,2.792
8,0,1.415
8,1,1.414
8,2,1.416
8,3,1.383
8,4,1.431
8,5,1.403
8,6,1.386
8,7,1.409
8,8,1.406
8,9,1.385
16,0,1.000
16,1,0.979
16,2,0.926
16,3,0.812
16,4,0.876
16,5,0.859
16,6,0.941
16,7,0.935
16,8,0.821
16,9,0.907
32,0,0.621
32,1,0.593
32,2,0.602
32,3,0.598
32,4,0.609
32,5,0.580
32,6,0.583
32,7,0.605
32,8,0.591
32,9,0.590
64,0,0.896
64,1,0.730
64,2,1.251
64,3,1.046
64,4,0.782
64,5,1.815
64,6,0.728
64,7,0.769
64,8,0.712
64,9,0.781
128,0,1.723
128,1,1.053
128,2,2.330
128,3,1.684
128,4,1.377
128,5,1.990
128,6,2.325
128,7,1.485
128,8,1.826
128,9,2.567
