threads,run,run_time
2,0,19.538
2,1,19.324
2,2,19.314
2,3,19.348
2,4,19.631
2,5,19.759
2,6,19.653
2,7,19.600
2,8,19.639
2,9,19.577
4,0,10.930
4,1,10.910
4,2,10.852
4,3,10.689
4,4,10.669
4,5,10.680
4,6,10.760
4,7,10.687
4,8,10.713
4,9,10.986
8,0,6.317
8,1,6.330
8,2,6.304
8,3,6.552
8,4,6.560
8,5,6.520
8,6,6.426
8,7,6.408
8,8,6.495
8,9,6.348
16,0,4.441
16,1,4.276
16,2,4.421
16,3,4.432
16,4,4.194
16,5,4.249
16,6,4.339
16,7,4.280
16,8,4.228
16,9,4.236
32,0,3.888
32,1,3.847
32,2,3.880
32,3,3.808
32,4,3.789
32,5,3.793
32,6,3.905
32,7,3.894
32,8,3.895
32,9,3.872
64,0,5.740
64,1,5.484
64,2,5.608
64,3,5.529
64,4,5.461
64,5,5.531
64,6,5.592
64,7,5.614
64,8,5.503
64,9,5.602
128,0,37.697
128,1,39.948
128,2,38.838
128,3,40.886
128,4,38.537
128,5,38.867
128,6,37.667
128,7,40.569
128,8,38.428
128,9,39.340
