threads,run,run_time
2,0,1.027
2,1,1.022
2,2,1.021
2,3,1.054
2,4,1.043
2,5,1.044
2,6,1.070
2,7,1.063
2,8,1.059
2,9,1.044
4,0,0.605
4,1,0.601
4,2,0.604
4,3,0.608
4,4,0.605
4,5,0.603
4,6,0.564
4,7,0.557
4,8,0.558
4,9,0.565
8,0,0.363
8,1,0.346
8,2,0.462
8,3,0.388
8,4,0.372
8,5,0.386
8,6,0.389
8,7,0.377
8,8,0.371
8,9,0.392
16,0,0.309
16,1,0.324
16,2,0.351
16,3,0.357
16,4,0.332
16,5,0.348
16,6,0.336
16,7,0.325
16,8,0.331
16,9,0.332
32,0,0.394
32,1,0.395
32,2,0.362
32,3,0.381
32,4,0.372
32,5,0.422
32,6,0.394
32,7,0.386
32,8,0.374
32,9,0.455
64,0,2.573
64,1,2.377
64,2,2.572
64,3,2.309
64,4,2.439
64,5,2.418
64,6,2.472
64,7,2.445
64,8,2.265
64,9,2.531
128,0,8.714
128,1,5.552
128,2,9.067
128,3,5.542
128,4,9.761
128,5,5.582
128,6,7.894
128,7,9.832
128,8,6.044
128,9,10.185
