threads,run,run_time
2,0,18.470
2,1,18.427
2,2,19.021
2,3,18.456
2,4,18.383
2,5,18.433
2,6,18.422
2,7,19.125
2,8,18.277
2,9,18.331
4,0,10.390
4,1,10.481
4,2,10.471
4,3,10.570
4,4,10.283
4,5,10.305
4,6,10.432
4,7,10.307
4,8,10.372
4,9,10.237
8,0,7.374
8,1,9.004
8,2,7.329
8,3,7.596
8,4,7.408
8,5,7.264
8,6,7.238
8,7,7.373
8,8,7.292
8,9,7.477
16,0,7.509
16,1,7.393
16,2,7.412
16,3,7.612
16,4,7.574
16,5,7.480
16,6,7.750
16,7,8.063
16,8,8.682
16,9,7.403
32,0,8.103
32,1,8.172
32,2,10.187
32,3,9.085
32,4,10.340
32,5,8.156
32,6,9.357
32,7,9.186
32,8,9.197
32,9,8.132
64,0,11.434
64,1,11.168
64,2,9.864
64,3,10.883
64,4,11.257
64,5,10.035
64,6,9.879
64,7,10.648
64,8,10.670
64,9,11.302
128,0,21.014
128,1,19.896
128,2,19.158
128,3,18.929
128,4,19.872
128,5,19.317
128,6,18.995
128,7,18.399
128,8,19.464
128,9,19.890
