threads,run,run_time
2,0,16.401
2,1,16.419
2,2,16.431
2,3,16.365
2,4,16.366
2,5,16.372
2,6,16.472
2,7,16.440
2,8,16.415
2,9,16.436
4,0,8.335
4,1,8.354
4,2,8.363
4,3,8.380
4,4,8.350
4,5,8.359
4,6,8.360
4,7,8.368
4,8,8.358
4,9,8.368
8,0,4.528
8,1,4.408
8,2,4.581
8,3,4.508
8,4,4.500
8,5,4.364
8,6,4.487
8,7,4.588
8,8,4.437
8,9,4.590
16,0,3.948
16,1,3.579
16,2,3.564
16,3,3.942
16,4,3.620
16,5,3.726
16,6,3.275
16,7,3.965
16,8,3.862
16,9,3.728
32,0,2.906
32,1,2.842
32,2,2.910
32,3,2.903
32,4,2.884
32,5,2.937
32,6,2.862
32,7,2.849
32,8,2.865
32,9,2.854
64,0,4.903
64,1,4.787
64,2,4.744
64,3,4.867
64,4,4.993
64,5,4.671
64,6,4.829
64,7,4.853
64,8,4.940
64,9,4.800
128,0,64.504
128,1,65.721
128,2,67.095
128,3,68.503
128,4,65.849
128,5,62.987
128,6,64.414
128,7,63.252
128,8,62.106
128,9,63.640
