threads,run,run_time
2,0,18.606
2,1,18.570
2,2,18.801
2,3,18.845
2,4,18.831
2,5,18.546
2,6,18.869
2,7,19.996
2,8,18.871
2,9,19.045
4,0,9.722
4,1,9.770
4,2,9.715
4,3,9.721
4,4,9.697
4,5,9.699
4,6,9.738
4,7,9.760
4,8,9.650
4,9,9.779
8,0,5.570
8,1,5.580
8,2,5.651
8,3,5.417
8,4,5.427
8,5,5.429
8,6,5.352
8,7,5.412
8,8,5.352
8,9,5.352
16,0,4.471
16,1,4.245
16,2,4.407
16,3,4.491
16,4,4.275
16,5,4.314
16,6,4.479
16,7,4.250
16,8,4.249
16,9,3.875
32,0,3.479
32,1,3.410
32,2,3.420
32,3,3.386
32,4,3.443
32,5,3.392
32,6,3.414
32,7,3.422
32,8,3.406
32,9,3.397
64,0,5.868
64,1,5.815
64,2,5.803
64,3,5.888
64,4,5.993
64,5,5.877
64,6,5.843
64,7,5.739
64,8,5.782
64,9,5.812
128,0,64.681
128,1,65.876
128,2,66.011
128,3,66.697
128,4,68.831
128,5,65.338
128,6,65.414
128,7,68.936
128,8,71.169
128,9,71.113
