threads,run,run_time
2,0,49.776
2,1,49.304
2,2,49.192
2,3,49.042
2,4,51.015
2,5,48.925
2,6,50.199
2,7,50.001
2,8,49.329
2,9,49.640
4,0,25.840
4,1,25.173
4,2,25.051
4,3,25.982
4,4,25.322
4,5,25.400
4,6,25.606
4,7,26.006
4,8,24.798
4,9,25.915
8,0,13.529
8,1,13.271
8,2,13.336
8,3,13.121
8,4,12.581
8,5,13.187
8,6,13.044
8,7,13.400
8,8,13.542
8,9,13.426
16,0,7.890
16,1,7.249
16,2,7.503
16,3,7.890
16,4,7.426
16,5,7.505
16,6,7.790
16,7,7.615
16,8,7.747
16,9,7.525
32,0,5.396
32,1,5.420
32,2,5.377
32,3,5.484
32,4,5.428
32,5,5.429
32,6,5.445
32,7,5.484
32,8,5.572
32,9,5.400
64,0,7.272
64,1,7.019
64,2,7.141
64,3,7.071
64,4,7.028
64,5,7.191
64,6,7.173
64,7,7.101
64,8,7.059
64,9,7.166
128,0,20.695
128,1,22.523
128,2,20.907
128,3,19.011
128,4,16.262
128,5,18.544
128,6,16.420
128,7,21.825
128,8,25.964
128,9,20.320
