threads,run,run_time
2,0,99.601
2,1,100.790
2,2,98.894
2,3,102.031
2,4,101.772
2,5,100.656
2,6,105.819
2,7,105.297
2,8,106.722
2,9,100.484
4,0,53.783
4,1,54.423
4,2,54.558
4,3,55.473
4,4,53.860
4,5,55.317
4,6,54.839
4,7,53.883
4,8,55.215
4,9,53.471
8,0,28.487
8,1,28.030
8,2,28.710
8,3,27.733
8,4,27.774
8,5,27.693
8,6,28.576
8,7,28.018
8,8,28.124
8,9,28.450
16,0,15.521
16,1,15.688
16,2,15.824
16,3,15.000
16,4,14.719
16,5,15.568
16,6,15.530
16,7,15.161
16,8,15.710
16,9,15.863
32,0,11.492
32,1,11.213
32,2,11.103
32,3,11.257
32,4,11.247
32,5,11.215
32,6,11.118
32,7,11.219
32,8,10.994
32,9,11.284
64,0,12.502
64,1,12.539
64,2,12.720
64,3,12.633
64,4,12.729
64,5,12.438
64,6,12.420
64,7,12.365
64,8,12.623
64,9,12.495
128,0,24.495
128,1,21.116
128,2,23.579
128,3,18.413
128,4,22.344
128,5,18.674
128,6,19.143
128,7,20.503
128,8,23.745
128,9,22.807
