threads,run,run_time
2,0,5.323
2,1,5.246
2,2,5.296
2,3,5.663
2,4,5.555
2,5,5.648
2,6,5.312
2,7,5.235
2,8,5.308
2,9,5.271
4,0,2.674
4,1,2.665
4,2,2.684
4,3,2.680
4,4,2.665
4,5,2.693
4,6,2.788
4,7,2.793
4,8,2.778
4,9,2.772
8,0,1.392
8,1,1.378
8,2,1.406
8,3,1.346
8,4,1.339
8,5,1.344
8,6,1.361
8,7,1.335
8,8,1.340
8,9,1.337
15,0,0.754
15,1,0.740
15,2,0.753
15,3,0.739
15,4,0.759
15,5,0.728
15,6,0.732
15,7,0.730
15,8,0.736
15,9,0.744
30,0,0.635
30,1,0.610
30,2,0.611
30,3,0.613
30,4,0.619
30,5,0.605
30,6,0.602
30,7,0.600
30,8,0.603
30,9,0.607
60,0,0.827
60,1,1.517
60,2,0.736
60,3,1.753
60,4,0.777
60,5,0.956
60,6,1.445
60,7,1.236
60,8,0.907
60,9,0.764
120,0,3.258
120,1,2.596
120,2,1.826
120,3,2.962
120,4,2.900
120,5,2.841
120,6,3.203
120,7,2.623
120,8,2.093
120,9,2.971
