threads,run,run_time
2,0,19.615
2,1,19.230
2,2,19.289
2,3,19.696
2,4,19.305
2,5,19.300
2,6,19.633
2,7,625.294
2,8,19.617
2,9,19.713
4,0,10.808
4,1,10.768
4,2,10.834
4,3,10.725
4,4,10.654
4,5,10.656
4,6,10.941
4,7,10.991
4,8,10.905
4,9,10.682
8,0,6.357
8,1,6.370
8,2,6.346
8,3,6.306
8,4,6.282
8,5,6.283
8,6,6.291
8,7,6.229
8,8,6.210
8,9,6.246
15,0,4.286
15,1,4.295
15,2,4.267
15,3,4.239
15,4,4.237
15,5,4.227
15,6,4.170
15,7,4.181
15,8,4.186
15,9,4.215
30,0,3.952
30,1,3.948
30,2,3.930
30,3,3.961
30,4,3.957
30,5,3.945
30,6,3.882
30,7,3.870
30,8,3.858
30,9,3.906
60,0,6.056
60,1,5.846
60,2,6.130
60,3,5.900
60,4,6.047
60,5,6.051
60,6,6.124
60,7,6.020
60,8,5.915
60,9,6.281
120,0,33.771
120,1,35.268
120,2,37.047
120,3,37.825
120,4,37.981
120,5,35.722
120,6,37.525
120,7,35.803
120,8,37.396
120,9,34.821
