threads,run,run_time
2,0,1.101
2,1,1.092
2,2,1.092
2,3,1.036
2,4,1.028
2,5,1.027
2,6,1.040
2,7,1.032
2,8,1.032
2,9,1.032
4,0,0.575
4,1,0.572
4,2,0.572
4,3,0.576
4,4,0.570
4,5,0.570
4,6,0.560
4,7,0.554
4,8,0.555
4,9,0.553
8,0,0.343
8,1,0.332
8,2,0.337
8,3,0.337
8,4,0.332
8,5,0.332
8,6,0.331
8,7,0.335
8,8,0.330
8,9,0.336
15,0,0.227
15,1,0.222
15,2,0.221
15,3,0.217
15,4,0.225
15,5,0.219
15,6,0.225
15,7,0.221
15,8,0.221
15,9,0.225
30,0,0.308
30,1,0.305
30,2,0.307
30,3,0.317
30,4,0.326
30,5,0.331
30,6,0.344
30,7,0.312
30,8,0.314
30,9,0.301
60,0,2.260
60,1,2.006
60,2,2.299
60,3,2.127
60,4,2.151
60,5,2.250
60,6,1.948
60,7,2.066
60,8,1.962
60,9,2.100
120,0,8.679
120,1,7.218
120,2,9.505
120,3,7.438
120,4,7.919
120,5,7.619
120,6,8.921
120,7,9.722
120,8,9.626
120,9,7.611
