threads,run,run_time
2,0,18.374
2,1,18.341
2,2,18.437
2,3,18.368
2,4,18.472
2,5,18.515
2,6,18.475
2,7,18.936
2,8,18.572
2,9,18.595
4,0,10.240
4,1,10.317
4,2,10.344
4,3,10.510
4,4,10.286
4,5,10.332
4,6,10.604
4,7,10.938
4,8,10.736
4,9,10.289
8,0,7.324
8,1,7.362
8,2,8.793
8,3,7.180
8,4,8.824
8,5,7.186
8,6,8.925
8,7,7.286
8,8,8.546
8,9,7.928
15,0,7.378
15,1,7.377
15,2,7.117
15,3,7.426
15,4,7.349
15,5,7.685
15,6,7.320
15,7,7.047
15,8,7.194
15,9,7.361
30,0,8.691
30,1,8.474
30,2,9.751
30,3,11.430
30,4,8.386
30,5,10.105
30,6,8.380
30,7,10.235
30,8,10.833
30,9,8.271
60,0,12.530
60,1,15.684
60,2,16.446
60,3,12.099
60,4,12.019
60,5,13.863
60,6,12.789
60,7,13.397
60,8,14.181
60,9,13.427
120,0,23.939
120,1,21.437
120,2,22.974
120,3,22.836
120,4,22.684
120,5,21.428
120,6,22.490
120,7,22.258
120,8,25.096
120,9,23.925
