threads,run,run_time
2,0,16.241
2,1,16.208
2,2,16.209
2,3,16.169
2,4,16.161
2,5,16.143
2,6,16.179
2,7,16.134
2,8,16.146
2,9,16.138
4,0,8.275
4,1,8.288
4,2,8.280
4,3,8.281
4,4,8.316
4,5,8.304
4,6,8.270
4,7,8.267
4,8,8.282
4,9,8.261
8,0,4.358
8,1,4.320
8,2,4.337
8,3,4.331
8,4,4.329
8,5,4.334
8,6,4.336
8,7,4.342
8,8,4.317
8,9,4.350
15,0,2.401
15,1,2.384
15,2,2.390
15,3,2.403
15,4,2.381
15,5,2.386
15,6,2.395
15,7,2.390
15,8,2.388
15,9,2.380
30,0,2.494
30,1,2.495
30,2,2.493
30,3,2.534
30,4,2.502
30,5,2.516
30,6,2.502
30,7,2.497
30,8,2.500
30,9,2.494
60,0,5.646
60,1,5.422
60,2,5.370
60,3,5.556
60,4,5.371
60,5,5.201
60,6,5.682
60,7,5.566
60,8,5.522
60,9,5.648
120,0,54.348
120,1,53.594
120,2,58.254
120,3,54.049
120,4,56.334
120,5,55.287
120,6,56.679
120,7,58.422
120,8,54.421
120,9,53.843
