threads,run,run_time
2,0,18.245
2,1,17.911
2,2,18.296
2,3,18.163
2,4,18.143
2,5,18.117
2,6,18.304
2,7,18.048
2,8,18.229
2,9,18.262
4,0,9.714
4,1,9.664
4,2,9.649
4,3,9.556
4,4,9.561
4,5,9.563
4,6,9.511
4,7,9.533
4,8,9.577
4,9,9.523
8,0,5.207
8,1,5.216
8,2,5.235
8,3,5.214
8,4,5.193
8,5,5.187
8,6,5.204
8,7,5.238
8,8,5.226
8,9,5.291
15,0,2.719
15,1,2.725
15,2,2.715
15,3,2.722
15,4,2.715
15,5,2.704
15,6,2.855
15,7,2.856
15,8,2.855
15,9,2.720
30,0,2.795
30,1,2.783
30,2,2.783
30,3,2.788
30,4,2.783
30,5,2.788
30,6,2.792
30,7,2.810
30,8,2.794
30,9,2.844
60,0,5.802
60,1,6.023
60,2,5.704
60,3,5.988
60,4,5.719
60,5,5.636
60,6,6.263
60,7,6.104
60,8,6.018
60,9,6.335
120,0,57.958
120,1,57.457
120,2,57.106
120,3,55.490
120,4,55.157
120,5,57.351
120,6,58.120
120,7,57.769
120,8,58.862
120,9,58.337
