threads,run,run_time
2,0,49.707
2,1,49.716
2,2,49.922
2,3,50.143
2,4,50.722
2,5,50.208
2,6,47.873
2,7,48.831
2,8,47.816
2,9,50.121
4,0,26.320
4,1,26.202
4,2,25.872
4,3,26.414
4,4,26.265
4,5,25.165
4,6,25.898
4,7,26.231
4,8,25.827
4,9,26.132
8,0,13.179
8,1,13.494
8,2,13.288
8,3,13.626
8,4,14.043
8,5,13.712
8,6,12.886
8,7,12.971
8,8,12.953
8,9,13.313
16,0,9.883
16,1,10.084
16,2,9.933
16,3,10.062
16,4,9.963
16,5,10.194
16,6,9.971
16,7,9.973
16,8,10.095
16,9,10.015
32,0,8.591
32,1,8.692
32,2,8.633
32,3,8.640
32,4,8.631
32,5,8.689
32,6,8.740
32,7,8.696
32,8,8.602
32,9,8.732
64,0,9.146
64,1,9.094
64,2,9.126
64,3,9.189
64,4,9.140
64,5,9.114
64,6,9.126
64,7,9.268
64,8,8.802
64,9,8.951
128,0,36.261
128,1,27.803
128,2,30.493
128,3,19.072
128,4,21.846
128,5,30.177
128,6,19.889
128,7,35.469
128,8,21.555
128,9,34.082
