threads,run,run_time
2,0,101.117
2,1,100.252
2,2,100.271
2,3,103.074
2,4,101.117
2,5,100.861
2,6,102.614
2,7,102.318
2,8,109.659
2,9,105.544
4,0,54.831
4,1,53.293
4,2,52.963
4,3,54.930
4,4,53.878
4,5,54.319
4,6,54.758
4,7,55.995
4,8,54.708
4,9,53.901
8,0,28.282
8,1,28.126
8,2,27.574
8,3,28.149
8,4,28.238
8,5,28.209
8,6,27.831
8,7,27.534
8,8,27.765
8,9,28.088
15,0,15.010
15,1,14.982
15,2,14.999
15,3,15.206
15,4,15.032
15,5,15.085
15,6,15.377
15,7,15.205
15,8,15.189
15,9,15.309
30,0,12.119
30,1,12.089
30,2,12.074
30,3,11.907
30,4,11.894
30,5,11.962
30,6,11.991
30,7,12.263
30,8,12.087
30,9,12.009
60,0,13.574
60,1,13.679
60,2,13.590
60,3,13.655
60,4,13.974
60,5,13.426
60,6,13.753
60,7,13.803
60,8,13.823
60,9,13.310
120,0,24.106
120,1,21.150
120,2,23.248
120,3,23.098
120,4,23.308
120,5,24.303
120,6,22.796
120,7,20.998
120,8,23.293
120,9,24.065
