threads,run,run_time
2,0,36.645
2,1,36.723
2,2,36.683
2,3,36.293
2,4,36.181
2,5,36.771
2,6,36.480
2,7,36.285
2,8,36.823
2,9,36.917
4,0,20.412
4,1,20.400
4,2,20.423
4,3,20.221
4,4,20.295
4,5,20.069
4,6,19.927
4,7,19.862
4,8,20.171
4,9,19.739
8,0,10.721
8,1,10.992
8,2,10.828
8,3,10.990
8,4,10.976
8,5,10.991
8,6,11.139
8,7,10.973
8,8,10.945
8,9,10.982
15,0,7.889
15,1,7.051
15,2,7.082
15,3,7.059
15,4,7.058
15,5,7.003
15,6,7.058
15,7,7.109
15,8,7.048
15,9,7.018
30,0,5.428
30,1,5.102
30,2,5.275
30,3,5.846
30,4,5.095
30,5,5.415
30,6,5.008
30,7,5.379
30,8,5.727
30,9,5.417
60,0,6.801
60,1,6.468
60,2,6.256
60,3,6.037
60,4,6.002
60,5,5.955
60,6,5.920
60,7,5.843
60,8,6.255
60,9,5.968
120,0,17.365
120,1,14.031
120,2,14.820
120,3,10.747
120,4,14.431
120,5,11.384
120,6,14.606
120,7,13.331
120,8,14.163
120,9,14.481
